"","LAESTAB","Ofstedphase","Easting","Northing","Academy","DistrictAdministrativecode","LSOAcode","LACode","prev_out","IDACI","num_pupils","prev_good","curr_good","bad_out_chance","good_out_chance"
"77",9373207,"Primary",423068,290698,"0","E07000218","E01031028",937,"2","2",204,"Y",NA,0.0816616671706912,0.918338332829309
"78",9373210,"Primary",423344,267459,"0","E07000222","E01031268",937,"2","1",194,"Y",NA,0.0669487203095797,0.93305127969042
"79",9373301,"Primary",436440,286651,"0","E07000219","E01031097",937,"3","4",237,"N",NA,0.0733569663980378,0.926643033601962
"80",9373302,"Primary",435485,286786,"0","E07000219","E01031063",937,"1","3",629,"Y",NA,0.0884263019182034,0.911573698081797
"81",9373308,"Primary",433391,251194,"0","E07000221","E01031206",937,"2","2",195,"Y",NA,0.0826747341242323,0.917325265875768
"82",9375205,"Primary",431170,255826,"0","E07000221","E01031252",937,"2","1",92,"Y",NA,0.0713427108679429,0.928657289132057
"83",9373313,"Primary",416393,257868,"0","E07000221","E01031187",937,"3","2",84,"N",NA,0.0501868670310357,0.949813132968964
"84",9373371,"Primary",432709,266139,"0","E07000222","E01031271",937,"2","3",325,"Y",NA,0.137471570922311,0.86252842907769
"85",9373391,"Primary",448142,271289,"0","E07000220","E01031147",937,"1","1",266,"Y",NA,0.0827312749987526,0.917268725001248
"86",9373503,"Primary",420161,288275,"0","E07000218","E01031022",937,"3","3",242,"N",NA,0.0569284356195384,0.943071564380462
"87",9373505,"Primary",442049,261884,"0","E07000221","E01031222",937,"2","2",117,"Y",NA,0.0844219670736893,0.915578032926311
"88",9373507,"Primary",407077,263622,"0","E07000221","E01031239",937,"1","2",221,"Y",NA,0.0665477846625441,0.933452215337456
